file,loc,nfuncs,total_cc,max_cc,density,avg_cc,mi_proxy
.opencode/plugins/orchestrate.js,362,26,157,25,43.37,6.04,43.4
src/model-data.js,109,8,43,13,39.45,5.38,54.8
scripts/refresh-benchmarks.mjs,89,4,17,9,19.1,4.25,56.9
src/rate-limit-guard.js,89,9,27,6,30.34,3.0,57.1
src/context.js,78,6,47,15,60.26,7.83,57.7
scripts/squad-draft.mjs,79,3,18,12,22.78,6.0,57.8
scripts/squad-file-performance.mjs,67,3,14,8,20.9,4.67,59.5
src/bootstrap.js,64,1,5,5,7.81,5.0,59.9
src/benchmarks.js,53,8,22,7,41.51,2.75,62.0
src/workers.js,47,2,3,2,6.38,1.5,63.3
src/inventory.js,32,6,23,13,71.88,3.83,66.7
